RID,Weights,Segment,Brand,Buy Client's Brand,Average price pay for the yogurt most typically purchased,Price Paid Range,Price Mid-Point,Number of Units Purchased,Number of Units Purchased Groups,Where Typically Purchase Yogurt,Store where typically buy yogurt,How many times per week eat last yogurt purchased,Time of day eat yogurt: Before breakfast,Time of day eat yogurt: At breakfast,Time of day eat yogurt: Mid-morning,Time of day eat yogurt: At lunch,Time of day eat yogurt: Mid-afternoon,Time of day eat yogurt: At dinner,Time of day eat yogurt: After dinner/early evening,Time of day eat yogurt: Before going to bed,Breakfast,Lunch,Dinner,Snack,Banana,Blueberry,Boysenberry,Strawberry,Vanilla,Coffee,Raspberry,Price Importance,Brand Name Importance,Fat Content Importance,Calorie Content Importance,Diet Fad Importance,Organic Importance,Non-Dairy Importance,Flavor Importance,Creaminess Importance,Dietary Fiber Content Importance,Vitamin D Fortified Importance,Price Satisfied,Brand Name Satisfied,Fat Content Satisfied,Calorie Content Satisfied,Diet Fad Satisfied,Organic Satisfied,Non-Dairy Satisfied,Flavor Satisfied,Creaminess Satisfied,Dietary Fiber Satisfied,Vitamin D Fortified Satisfied,Satisfied,Recommand,Purchase Again,Gender,Age,Ethnicity,Education,Employment Status,Household Income,Descriptive Word,x
8135,117365.017,Dessert Lover,E,Not Buy,$1.12,$1.50 - $1.59,$1.55,7,Medium,Shopping Club,Warehouse Store,1,Yes,No,No,No,No,Yes,No,Yes,0,0,1,1,No,No,Yes,Yes,No,No,Yes,Only somewhat important,Only somewhat important,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Male,68 years old and over,African-American,Some College (no degree),Stay at home husband/wife or mom/dad,"$60,000 - $74,999",Flavourful,Male
8141,221349.137,Normal Food Consumer,Client,Buy,$1.34,$1.10 - $1.19,$1.15,7,Medium,Shopping Club,Convenience Store,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1,1,1,1,No,No,Yes,Yes,No,No,No,Only somewhat unimportant,Only somewhat unimportant,Only somewhat important,Extremely important,Only somewhat unimportant,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,36 to 40 years old,African-American,Graduate or Professional Degree,Employed as a mid-level manager,"$50,000 - $59,999",Flavourful,Female
8148,101258.62,Dessert Lover,Client,Buy,$1.45,$1.10 - $1.19,$1.15,6,Medium,Locally Owned Grocery Store,Convenience Store,5,No,Yes,No,Yes,Yes,Yes,No,No,1,1,1,0,No,Yes,Yes,Yes,No,No,Yes,Only somewhat important,Extremely important,Extremely unimportant,Extremely important,Neither important nor unimportant,Extremely unimportant,Extremely important,Extremely important,Only somewhat important,Only somewhat unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,36 to 40 years old,African-American,Bachelors Degree,Employed as a mid-level manager,"$75,000 - $99,999",Fulfilling,Female
8150,162269.116,Health-Conscious,Client,Buy,$1.19,$1.00 - $1.09,$1.05,7,Medium,Other,Local Grocery Store,5,No,No,Yes,Yes,No,Yes,No,No,0,1,1,0,No,No,No,Yes,No,No,No,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Somewhat Likely,Female,68 years old and over,African-American,Bachelors Degree,Employed as a mid-level manager,"$25,000 - $39,999",Healthy,Female
8151,221349.137,Dessert Lover,Major Competitor,Not Buy,$1.24,$1.10 - $1.19,$1.15,6,Medium,National Grocery Chain Store,Warehouse Store,4,No,Yes,No,No,No,No,No,No,1,0,0,0,No,Yes,No,Yes,No,No,Yes,Only somewhat unimportant,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Somewhat Likely,Male,61 to 67 years old,African-American,Graduate or Professional Degree,Employed in upper-management,"$25,000 - $39,999",Tasty,Male
8155,41494.6371,Dessert Lover,Client,Buy,$1.10,$1.30 - $1.39,$1.35,8,Medium,Shopping Club,Local Grocery Store,5,No,No,Yes,No,No,No,No,Yes,0,0,0,1,No,Yes,Yes,Yes,No,No,Yes,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Male,61 to 67 years old,African-American,Graduate or Professional Degree,"Not employed, but currently looking","$40,000 - $49,999",Typical,Male
8165,70085.7971,Normal Food Consumer,C,Not Buy,$1.26,$1.20 - $1.29,$1.25,6,Medium,National Grocery Chain Store,Local Grocery Store,7,No,No,Yes,Yes,No,Yes,No,Yes,0,1,1,1,No,No,No,No,Yes,No,Yes,Extremely important,Only somewhat unimportant,Only somewhat important,Extremely unimportant,Neither important nor unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Somewhat Likely,Female,61 to 67 years old,African-American,High School - No Diploma,Student,"$60,000 - $74,999",Flavourful,Female
8166,213485.911,Dessert Lover,Client,Buy,$1.35,$1.20 - $1.29,$1.25,6,Medium,National Grocery Chain Store,Local Grocery Store,5,No,Yes,No,Yes,No,No,Yes,No,1,1,0,0,Yes,No,No,No,No,No,No,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,51 to 60 years old,African-American,Bachelors Degree,Employed in upper-management,"$75,000 - $99,999",Healthy,Female
8174,217442.33,Dessert Lover,D,Not Buy,$1.21,$1.00 - $1.09,$1.05,6,Medium,Mass Discount Retailer,Convenience Store,5,No,Yes,No,No,No,Yes,No,No,1,0,1,0,Yes,Yes,No,No,No,No,Yes,Extremely important,Extremely unimportant,Extremely important,Extremely unimportant,Extremely important,Extremely important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely important,Neither important nor unimportant,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,61 to 67 years old,Asian,High School Graduate or equivalent,Stay at home husband/wife or mom/dad,"$50,000 - $59,999",Healthy,Female
8189,173741.597,Normal Food Consumer,Client,Buy,$1.24,$1.10 - $1.19,$1.15,8,Medium,Locally Owned Health Food Store,Warehouse Store,4,No,Yes,Yes,No,Yes,No,Yes,Yes,1,0,0,1,No,Yes,Yes,No,No,No,No,Extremely unimportant,Extremely important,Extremely important,Only somewhat important,Extremely important,Only somewhat important,Extremely important,Extremely important,Extremely important,Extremely unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Neither Likely nor Unlikely,Female,18 to 35 years old,African-American,Bachelors Degree,Employed as a mid-level manager,"$25,000 - $39,999",Smooth,Female
8195,221349.137,Normal Food Consumer,C,Not Buy,$1.23,$1.60 - $1.69,$1.65,6,Medium,Other,Local Grocery Store,6,Yes,No,No,No,No,No,Yes,Yes,0,0,0,1,No,No,No,Yes,Yes,No,No,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Will Definitely Not Recommand at All,Extremely Likely,Female,61 to 67 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$25,000 - $39,999",Satisfying,Female
8202,173741.597,Health-Conscious,Client,Buy,$1.20,$1.10 - $1.19,$1.15,7,Medium,Shopping Club,Local Grocery Store,1,No,No,Yes,No,Yes,No,No,No,0,0,0,1,No,Yes,Yes,No,Yes,No,No,Only somewhat unimportant,Extremely important,Only somewhat unimportant,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Somewhat Likely,Female,61 to 67 years old,African-American,Bachelors Degree,Stay at home husband/wife or mom/dad,"$60,000 - $74,999",Delicious,Female
8231,109895.481,Health-Conscious,Client,Buy,$1.15,$1.00 - $1.09,$1.05,8,Medium,Mass Discount Retailer,Warehouse Store,7,No,No,Yes,No,No,No,No,No,0,0,0,0,No,Yes,Yes,Yes,No,No,Yes,Extremely important,Extremely important,Only somewhat important,Extremely important,Only somewhat unimportant,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Neither Likely nor Unlikely,Female,36 to 40 years old,African-American,Bachelors Degree,Own your own business,"$40,000 - $49,999",Flavourful,Female
8245,101258.62,Health-Conscious,Client,Buy,$1.32,$1.10 - $1.19,$1.15,5,Low,National Health Food Store,Warehouse Store,1,No,Yes,Yes,No,No,No,No,Yes,1,0,0,1,No,No,No,Yes,No,Yes,Yes,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,61 to 67 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$40,000 - $49,999",Delicious,Female
8247,117365.017,Health-Conscious,E,Not Buy,$1.05,$1.10 - $1.19,$1.15,10,High,Locally Owned Grocery Store,Warehouse Store,4,No,No,No,No,Yes,Yes,No,Yes,0,0,1,1,No,Yes,Yes,No,No,No,No,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat important,Extremely important,Extremely important,Only somewhat important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Female,61 to 67 years old,Asian,Associate Degree,Student,"$75,000 - $99,999",Flavourful,Female
8251,231385.998,Health-Conscious,Client,Buy,$1.19,$1.00 - $1.09,$1.05,6,Medium,National Health Food Store,Local Grocery Store,5,No,No,No,Yes,No,No,No,Yes,0,1,0,0,No,No,Yes,Yes,No,No,Yes,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat important,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,36 to 40 years old,African-American,Bachelors Degree,Employed as a mid-level manager,"$60,000 - $74,999",Flavourful,Female
8252,117365.017,Normal Food Consumer,,,$1.10,$1.50 - $1.59,$1.55,7,Medium,National Grocery Chain Store,Convenience Store,3,Yes,Yes,Yes,No,No,No,No,No,1,0,0,1,No,Yes,No,Yes,No,No,No,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Somewhat Likely,Male,61 to 67 years old,Caucasian,Bachelors Degree,"Employed, but not at a management level","$60,000 - $74,999",Creamy,Male
8262,231385.998,Dessert Lover,E,Not Buy,$1.24,$1.70 or more,$1.75,6,Medium,Convenience Store,Local Grocery Store,3,No,No,No,Yes,No,No,No,No,0,1,0,0,No,Yes,Yes,No,Yes,No,No,Only somewhat important,Extremely important,Neither important nor unimportant,Only somewhat important,Extremely important,Extremely unimportant,Extremely important,Only somewhat important,Extremely important,Only somewhat unimportant,Extremely important,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,61 to 67 years old,African-American,Graduate or Professional Degree,Employed as a mid-level manager,"$50,000 - $59,999",Fulfilling,Male
8263,140171.594,Normal Food Consumer,Client,Buy,$1.26,$1.00 - $1.09,$1.05,6,Medium,Don't Remember,Retailer,3,No,Yes,Yes,No,No,No,No,No,1,0,0,0,Yes,Yes,Yes,No,No,Yes,Yes,Extremely important,Neither important nor unimportant,Only somewhat important,Extremely important,Only somewhat important,Only somewhat unimportant,Only somewhat important,Only somewhat important,Extremely unimportant,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,51 to 60 years old,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$100,000 - $149,999",Smooth,Female
8265,221349.137,Health-Conscious,C,Not Buy,$1.12,$1.30 - $1.39,$1.35,9,High,National Grocery Chain Store,Local Grocery Store,2,No,Yes,No,No,No,No,No,No,1,0,0,0,No,Yes,No,Yes,No,Yes,Yes,Neither important nor unimportant,Only somewhat important,Extremely unimportant,Extremely important,Only somewhat unimportant,Extremely unimportant,Neither important nor unimportant,Extremely important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Not at all Satisfied,Will Definitely Recommand,Somewhat Likely,Female,68 years old and over,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$50,000 - $59,999",Typical,Female
8270,348687.161,Health Fanatic,Client,Buy,$1.35,$1.50 - $1.59,$1.55,7,Medium,Shopping Club,Local Grocery Store,3,No,Yes,No,Yes,No,No,No,No,1,1,0,0,No,Yes,Yes,Yes,No,Yes,Yes,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Extremely important,Only somewhat important,Neither important nor unimportant,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,68 years old and over,African-American,Some College (no degree),"Employed, but not at a management level","$25,000 - $39,999",Flavourful,Female
8274,117365.017,Normal Food Consumer,Client,Buy,$1.40,$1.10 - $1.19,$1.15,7,Medium,National Grocery Chain Store,Warehouse Store,5,No,No,No,Yes,No,No,Yes,Yes,0,1,0,1,No,Yes,Yes,Yes,No,No,Yes,Neither important nor unimportant,Only somewhat important,Only somewhat unimportant,Only somewhat important,Only somewhat unimportant,Neither important nor unimportant,Extremely important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,,,,,,,,,,,,Somewhat Satisfied,Neither Recommand nor Not Recommand,Neither Likely nor Unlikely,Female,18 to 35 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$40,000 - $49,999",Smooth,Female
8276,186931.494,Health-Conscious,E,Not Buy,$1.06,$1.50 - $1.59,$1.55,8,Medium,National Grocery Chain Store,Warehouse Store,3,Yes,Yes,No,Yes,No,No,Yes,No,1,1,0,1,No,Yes,Yes,Yes,No,No,No,Only somewhat important,Only somewhat important,Neither important nor unimportant,Extremely important,Only somewhat unimportant,Extremely unimportant,Extremely important,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,68 years old and over,Hispanic,Bachelors Degree,"Not employed, but currently looking","$200,000 or more",Tasty,Female
8279,117365.017,Normal Food Consumer,Client,Buy,$1.05,$1.00 - $1.09,$1.05,8,Medium,Locally Owned Grocery Store,Convenience Store,5,Yes,Yes,No,No,No,No,No,Yes,1,0,0,1,Yes,No,Yes,No,Yes,No,Yes,Only somewhat unimportant,Only somewhat unimportant,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat important,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Somewhat Likely,Female,41 to 50 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$50,000 - $59,999",Delicious,Female
8286,173116.3,Health Fanatic,C,Not Buy,$1.07,$1.70 or more,$1.75,9,High,National Grocery Chain Store,Local Grocery Store,2,No,No,Yes,Yes,Yes,No,No,No,0,1,0,1,No,Yes,Yes,No,No,Yes,Yes,Only somewhat important,Extremely important,Neither important nor unimportant,Only somewhat important,Neither important nor unimportant,Extremely unimportant,Extremely important,Extremely important,Neither important nor unimportant,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Somewhat Likely,Female,61 to 67 years old,Asian,Bachelors Degree,Stay at home husband/wife or mom/dad,"$40,000 - $49,999",Healthy,Female
8288,173741.597,Health-Conscious,Major Competitor,Not Buy,$1.14,$1.10 - $1.19,$1.15,8,Medium,National Grocery Chain Store,Health Food Store,4,No,Yes,Yes,Yes,No,No,No,No,1,1,0,0,No,No,Yes,Yes,Yes,No,Yes,Extremely important,Extremely important,Extremely important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Extremely important,Only somewhat unimportant,Extremely important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Neither Likely nor Unlikely,Female,41 to 50 years old,African-American,Some College (no degree),"Employed, but not at a management level","$60,000 - $74,999",Fulfilling,Female
8292,162684.051,Health Fanatic,C,Not Buy,$1.18,$1.40 - $1.49,$1.45,7,Medium,Shopping Club,Convenience Store,4,No,No,Yes,Yes,No,No,No,No,0,1,0,0,No,No,Yes,No,No,Yes,Yes,Neither important nor unimportant,Only somewhat important,Only somewhat unimportant,Only somewhat important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Male,68 years old and over,African-American,Some College (no degree),Student,"$150,000 - $199,999",Delicious,Male
8295,221349.137,Health Fanatic,C,Not Buy,$1.26,$1.10 - $1.19,$1.15,7,Medium,Shopping Club,Local Grocery Store,4,No,No,Yes,No,No,No,No,Yes,0,0,0,1,No,No,No,No,Yes,No,No,Only somewhat important,Extremely important,Extremely unimportant,Extremely important,Extremely unimportant,Extremely unimportant,Extremely important,Extremely important,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Female,61 to 67 years old,Caucasian,Graduate or Professional Degree,"Employed, but not at a management level","$50,000 - $59,999",Delicious,Female
8298,117365.017,Health Fanatic,Major Competitor,Not Buy,$1.36,$1.20 - $1.29,$1.25,4,Low,Gas Station Store,Convenience Store,5,No,No,No,Yes,Yes,No,No,Yes,0,1,0,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Only somewhat important,Extremely important,,,,,,,,,,,,Not at all Satisfied,May Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Associate Degree,"Employed, but not at a management level","$50,000 - $59,999",Delicious,Male
8300,117365.017,Dessert Lover,Client,Buy,$1.11,$1.00 - $1.09,$1.05,8,High,Drug Store,Convenience Store,9,No,No,Yes,Yes,No,No,Yes,No,0,1,0,1,No,Yes,No,Yes,No,No,Yes,Only somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Extremely Likely,Female,68 years old and over,Hispanic,High School Graduate or equivalent,Stay at home husband/wife or mom/dad,"$100,000 - $149,999",Flavourful,Female
8310,231385.998,Health-Conscious,D,Not Buy,$1.11,$1.10 - $1.19,$1.15,7,Medium,National Health Food Store,Health Food Store,3,No,Yes,Yes,Yes,No,No,No,No,1,1,0,0,No,No,Yes,No,Yes,No,No,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Somewhat Satisfied,Will Definitely Recommand,Extremely Likely,Female,36 to 40 years old,African-American,Bachelors Degree,Stay at home husband/wife or mom/dad,"$50,000 - $59,999",Healthy,Female
8313,117365.017,Health-Conscious,C,Not Buy,$1.07,$1.10 - $1.19,$1.15,8,High,National Health Food Store,Warehouse Store,4,No,Yes,No,No,No,No,No,No,1,0,0,0,Yes,No,Yes,Yes,Yes,No,No,Extremely unimportant,Only somewhat important,Only somewhat important,Extremely important,Only somewhat unimportant,Extremely unimportant,Only somewhat important,Extremely important,Only somewhat important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Will Definitely Recommand,Extremely Likely,Female,36 to 40 years old,Caucasian,Bachelors Degree,Employed as a mid-level manager,"$75,000 - $99,999",Flavourful,Female
8316,146885.508,Normal Food Consumer,C,Not Buy,$1.04,$1.10 - $1.19,$1.15,9,High,National Health Food Store,Warehouse Store,3,Yes,Yes,Yes,No,No,Yes,Yes,No,1,0,1,1,No,Yes,Yes,No,No,No,Yes,Only somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,May Recommand,Somewhat Likely,Female,41 to 50 years old,African-American,Bachelors Degree,Employed as a mid-level manager,"$25,000 - $39,999",Delicious,Female
8317,117365.017,Health-Conscious,Client,Buy,$1.30,$1.20 - $1.29,$1.25,7,Medium,Other,Convenience Store,3,No,Yes,Yes,No,No,No,No,No,1,0,0,0,No,No,No,No,No,Yes,No,Only somewhat unimportant,Extremely important,Only somewhat important,Extremely important,Extremely important,Extremely unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,36 to 40 years old,African-American,Some College (no degree),Stay at home husband/wife or mom/dad,"$25,000 - $39,999",Delicious,Female
8322,268711.998,Health-Conscious,Major Competitor,Not Buy,$1.32,$1.00 - $1.09,$1.05,7,Medium,Locally Owned Grocery Store,Convenience Store,1,No,Yes,Yes,Yes,No,No,No,No,1,1,0,0,No,Yes,Yes,No,Yes,No,Yes,Only somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Only somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Extremely Likely,Female,61 to 67 years old,Caucasian,Bachelors Degree,Employed as a mid-level manager,"$50,000 - $59,999",Delicious,Female
8340,117365.017,Normal Food Consumer,Major Competitor,Not Buy,$1.33,$1.50 - $1.59,$1.55,5,Low,National Grocery Chain Store,Local Grocery Store,3,No,Yes,Yes,No,No,No,No,No,1,0,0,0,No,Yes,Yes,No,No,No,No,Only somewhat important,Extremely important,Only somewhat important,Extremely important,Only somewhat important,Extremely unimportant,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,68 years old and over,African-American,Graduate or Professional Degree,"Employed, but not at a management level","$25,000 - $39,999",Flavourful,Male
8341,221349.137,Health-Conscious,Major Competitor,Not Buy,$1.06,$1.00 - $1.09,$1.05,7,Medium,Shopping Club,Warehouse Store,3,No,Yes,No,No,No,No,No,No,1,0,0,0,No,No,Yes,No,No,Yes,No,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Only somewhat important,Extremely unimportant,Extremely important,Extremely important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat important,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,51 to 60 years old,African-American,Graduate or Professional Degree,Employed as a mid-level manager,"$75,000 - $99,999",Typical,Female
8342,223166.222,Dessert Lover,Client,Buy,$1.09,$1.50 - $1.59,$1.55,8,Medium,Locally Owned Health Food Store,Convenience Store,2,No,Yes,No,Yes,No,No,No,Yes,1,1,0,0,No,No,Yes,Yes,No,No,No,Only somewhat unimportant,Extremely important,Only somewhat important,Extremely important,Extremely important,Extremely unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat important,,,,,,,,,,,,Neither Satisfied nor Dissatisfied,Will Definitely Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Graduate or Professional Degree,Own your own business,"$25,000 - $39,999",Healthy,Male
8346,636530.913,Dessert Lover,Major Competitor,Not Buy,$1.35,$1.70 or more,$1.75,6,Medium,National Grocery Chain Store,Convenience Store,3,No,Yes,No,Yes,No,No,Yes,No,1,1,0,0,No,No,No,Yes,Yes,No,Yes,Extremely important,Only somewhat important,Extremely important,Extremely important,Only somewhat unimportant,Neither important nor unimportant,Extremely important,Only somewhat important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Graduate or Professional Degree,Employed as a mid-level manager,"$60,000 - $74,999",Healthy,Male
8347,175171.811,Health Fanatic,Client,Buy,$1.00,$1.00 - $1.09,$1.05,9,High,Shopping Club,Convenience Store,2,No,Yes,No,No,No,No,No,Yes,1,0,0,0,No,Yes,Yes,No,No,No,No,Neither important nor unimportant,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat important,Only somewhat important,Extremely important,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Very Satisfied,,Extremely Likely,Female,18 to 35 years old,African-American,Some College (no degree),Employed in upper-management,"$25,000 - $39,999",Delicious,Female
8350,221349.137,Health-Conscious,Major Competitor,Not Buy,$1.42,$1.40 - $1.49,$1.45,5,Low,Other,Local Grocery Store,5,No,No,Yes,No,Yes,No,No,No,0,0,0,1,Yes,Yes,Yes,Yes,No,Yes,No,Only somewhat important,Extremely important,Only somewhat important,Extremely important,Neither important nor unimportant,Only somewhat important,Extremely important,Extremely important,Extremely important,Neither important nor unimportant,Neither important nor unimportant,,,,,,,,,,,,Somewhat Dissatisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,61 to 67 years old,African-American,High School Graduate or equivalent,"Employed, but not at a management level","$25,000 - $39,999",Healthy,Female
8355,117365.017,Health-Conscious,Client,Buy,$1.10,$1.00 - $1.09,$1.05,8,Medium,Convenience Store,Local Grocery Store,3,No,Yes,No,Yes,No,No,No,No,1,1,0,0,No,No,Yes,Yes,No,No,Yes,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,Extremely important,Extremely important,Extremely important,Only somewhat important,Extremely important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Extremely Likely,Female,41 to 50 years old,African-American,Graduate or Professional Degree,Own your own business,"$75,000 - $99,999",Smooth,Female
8361,146885.508,Dessert Lover,Client,Buy,$1.23,$1.10 - $1.19,$1.15,6,Medium,Locally Owned Grocery Store,Warehouse Store,4,No,No,No,No,No,No,Yes,No,0,0,0,0,No,No,No,Yes,No,No,Yes,Only somewhat important,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Extremely important,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Very Satisfied,Will Definitely Recommand,Somewhat Likely,Female,36 to 40 years old,African-American,Some College (no degree),"Employed, but not at a management level","$25,000 - $39,999",Delicious,Female
